year,n_samples,fraction_significant_raw,fraction_significant_fdr,mean_stat,median_stat,drift_detected
2006,3114,1.0,1.0,70.37630906625014,45.43844220637168,True
2007,2316,1.0,1.0,64.58064547704059,44.53956128618982,True
2008,4684,1.0,1.0,170.3276718858816,111.35815590468752,True
2009,1800,1.0,1.0,51.78882466386821,35.16161464142204,True
2010,1778,1.0,1.0,60.51209607450166,40.37253225518391,True
2011,1284,1.0,1.0,53.29344474025905,36.29461682611306,True
2012,2096,1.0,1.0,85.04116381278978,59.20452304920238,True
2013,2942,1.0,1.0,72.93476391937936,50.13762758251653,True
2014,3186,1.0,1.0,61.849432568013846,42.43071047840423,True
2015,3112,1.0,1.0,63.67417927362451,44.434239947897694,True
2016,2870,1.0,1.0,70.40402471920105,45.1405110833572,True
2017,4150,1.0,1.0,38.85630046615615,24.648707091885782,True
