year,count,mean,std,median,min,max
1998,862,0.3956772,0.18185027,0.36574274,0.096570194,1.0729324
1999,3821,0.33770716,0.16378707,0.3033068,0.08518841,1.6543169
2000,8819,0.314395,0.14952876,0.28308928,0.08003275,1.0901722
2001,11341,0.3119352,0.1534829,0.2785422,0.068876736,1.9628162
2002,8184,0.3149414,0.15445411,0.28231043,0.07518768,2.1028259
2003,7114,0.30687308,0.15275231,0.27296102,0.064673424,1.8117299
2004,4979,0.25710836,0.16362207,0.23258232,0.06972392,8.080902
2005,8377,0.23058808,0.0961497,0.21560399,0.07307673,1.2820747
2006,8693,0.25352055,0.12944043,0.22940457,0.07449269,3.0955203
2007,6755,0.24472892,0.12458747,0.22148626,0.07379499,2.4674656
2008,8564,0.23288298,0.11943564,0.20952271,0.066578045,2.7938168
2009,5122,0.23521322,0.11296332,0.21288314,0.07025879,1.319498
2010,15992,0.22888225,0.11643724,0.2066098,0.06337718,3.6269798
2011,17814,0.23291542,0.14418846,0.20708069,0.07251545,8.249189
2012,23099,0.236852,0.1293455,0.2123645,0.074728556,5.9088387
2013,29003,0.24366072,0.18846013,0.21769749,0.06648786,18.496994
2014,30602,0.25178275,0.14812057,0.2234497,0.06753272,6.2350006
2015,33263,0.25158936,0.16139601,0.2241785,0.06387078,13.230241
2016,28573,0.25457293,0.17792787,0.22403114,0.06929231,9.776511
2017,38648,0.33239523,0.2851285,0.26294497,0.06496199,11.929282
2018,375,0.46151942,0.46912414,0.29703155,0.089564525,3.3328736
