year,n_samples,mean_swd,std_swd,z_score,drift_95,drift_99
2006,8693,0.1157246769129863,0.0779386867470416,112.64831246647483,True,True
2007,6755,0.1448802412609553,0.0990531529278946,144.61912723606656,True,True
2008,8564,0.1497286162978235,0.0962304978919449,149.93565955858438,True,True
2009,5122,0.1513329506934006,0.1031371464651596,151.69490788515824,True,True
2010,15992,0.1638835065312871,0.1093835233983349,165.45734071477486,True,True
2011,17814,0.1568339338303229,0.1059261719540251,157.72706390252043,True,True
2012,23099,0.151615814814678,0.1054837387611525,152.00508526050896,True,True
2013,29003,0.1438845456549771,0.0923664466462438,143.52728763366,True,True
2014,30602,0.1507149006072538,0.099268604719944,151.01717911315774,True,True
2015,33263,0.1444233173972267,0.0982179828158284,144.1180829744386,True,True
2016,28573,0.1540697572139264,0.105589545907778,154.69597942277838,True,True
2017,38648,0.096175140120137,0.0652104488278477,91.211079690734,True,True
2018,375,0.1195049699262254,0.0564601144996772,116.79362916343904,True,True
