year,n_samples,mean_swd,std_swd,z_score,drift_95,drift_99
2006,8693,0.1786506980768538,0.1145742740884931,135.55092396859274,True,True
2007,6755,0.2063918666924416,0.1304902785997592,158.99981582755206,True,True
2008,8564,0.2159860966289208,0.1294625663348093,167.10957008368953,True,True
2009,5122,0.2299222701735399,0.1401625598680155,178.88945689753626,True,True
2010,15992,0.2328288918357459,0.1372298806829437,181.34634896205012,True,True
2011,17814,0.2198352926002,0.1350863397336271,170.36319581680843,True,True
2012,23099,0.2287025546807269,0.1399559178972745,177.85846295903298,True,True
2013,29003,0.2122254944005604,0.1292508685668008,163.93083034855687,True,True
2014,30602,0.1998770871465815,0.1298021950153164,153.49304128705936,True,True
2015,33263,0.2047942116701787,0.1343655913663095,157.6493593862933,True,True
2016,28573,0.2101181102656573,0.1433766520336742,162.14951308073046,True,True
2017,38648,0.11100980455282,0.076894163378211,78.37582729306136,True,True
2018,375,0.1481089510019662,0.0691067621839219,109.73477562002216,True,True
