year,n_samples,fraction_significant_raw,fraction_significant_fdr,mean_stat,median_stat,drift_detected
2006,3114,1.0,1.0,27.22538956154985,14.8020693244581,True
2007,2316,1.0,1.0,26.88852338130303,13.641300849125626,True
2008,4684,1.0,1.0,160.31879735208946,84.6616959147454,True
2009,1800,1.0,1.0,26.37336201512817,15.411481121598626,True
2010,1778,1.0,1.0,24.86309119059663,12.3947561900538,True
2011,1284,1.0,1.0,17.428855653274397,8.869792014456102,True
2012,2096,1.0,1.0,31.38145660362665,17.601596658780597,True
2013,2942,1.0,1.0,34.381302797105285,17.37279464230636,True
2014,3186,1.0,1.0,31.28433737358846,17.511615751529042,True
2015,3112,1.0,1.0,31.754913183203584,16.447847701746195,True
2016,2870,1.0,1.0,36.16924690547205,19.17679945849808,True
2017,4150,1.0,1.0,34.42231249447128,16.852227197587236,True
