year,count,mean,std,median,min,max
1998,862,0.479829,0.1538243,0.4505148,0.19595367,1.0460347
1999,3821,0.4492332,0.13635083,0.4283233,0.18150812,1.1875414
2000,8819,0.43893573,0.13029467,0.41718015,0.14143975,1.1258042
2001,11341,0.4389207,0.13133313,0.4177349,0.16596289,1.1180019
2002,8184,0.43828905,0.1307855,0.41506237,0.17256498,1.1450788
2003,7114,0.4309485,0.1323295,0.4083927,0.1549862,1.1672182
2004,4979,0.39686555,0.1079524,0.38084292,0.16573447,1.0193125
2005,8377,0.3846923,0.097043045,0.37370148,0.14512523,1.0142981
2006,8693,0.46160504,0.12970114,0.44364786,0.17262428,1.2993913
2007,6755,0.46781835,0.13031207,0.4516486,0.18007971,1.333481
2008,8564,0.45821503,0.123295456,0.4427358,0.16141254,1.3246773
2009,5122,0.45683157,0.13009737,0.43784863,0.16119353,1.2481191
2010,15992,0.49098295,0.129713,0.47450712,0.16073106,1.3700347
2011,17814,0.50354016,0.13109829,0.49022824,0.15019992,1.216103
2012,23099,0.50494224,0.13190952,0.4916165,0.1752273,1.4431009
2013,29003,0.50495356,0.13308083,0.49194297,0.17720246,1.700263
2014,30602,0.51569784,0.14127393,0.49949056,0.15957178,1.7887162
2015,33263,0.5160548,0.13890174,0.50086266,0.18167786,1.7920084
2016,28573,0.5147854,0.13969378,0.49901238,0.16890167,1.5825378
2017,38648,0.5752275,0.18638384,0.5456866,0.16191167,2.514499
2018,375,0.6613756,0.28762743,0.5913479,0.23287351,2.223673
