year,count,mean,std,median,min,max
1998,388,0.05327251,0.033289257,0.044829212,0.018752355,0.31344318
1999,1954,0.04403784,0.019963846,0.03956025,0.015192354,0.36602986
2000,1800,0.04207894,0.016303169,0.038588256,0.013680708,0.2085571
2001,1844,0.043305725,0.01840843,0.039676186,0.014987347,0.32239068
2002,2244,0.042870637,0.018343892,0.03903473,0.015782315,0.4508124
2003,3275,0.04163989,0.016965128,0.03761322,0.013677249,0.23237492
2004,2279,0.037826117,0.014387093,0.034638032,0.01440998,0.21563861
2005,2884,0.036513202,0.011327356,0.03464917,0.015627328,0.19760689
2006,3114,0.03962863,0.0122486735,0.037971184,0.0151059935,0.16487691
2007,2316,0.04042415,0.013599061,0.03843105,0.015144134,0.34665257
2008,4684,0.042815592,0.011893642,0.04137849,0.015131174,0.17518461
2009,1800,0.039763268,0.012114907,0.03823457,0.01447502,0.12610444
2010,1778,0.039840832,0.012437447,0.038188007,0.015425947,0.16304666
2011,1284,0.03984534,0.012603238,0.038008034,0.013912405,0.13522944
2012,2096,0.04171107,0.012907205,0.04046697,0.016343046,0.15914392
2013,2942,0.040916298,0.014877438,0.03860466,0.016032347,0.27220613
2014,3186,0.042287566,0.015832925,0.040080264,0.0151802385,0.26575133
2015,3112,0.042618975,0.01568893,0.04021327,0.015658502,0.2931751
2016,2870,0.04427236,0.018383317,0.040605657,0.013584143,0.19630185
2017,4150,0.05341851,0.027354343,0.047849715,0.016206577,0.44741422
