year,n_samples,fraction_significant_raw,fraction_significant_fdr,mean_stat,median_stat,drift_detected
2006,3114,0.7981770833333334,0.7838541666666666,0.0506911127023133,0.0457392310349276,True
2007,2316,0.79296875,0.7825520833333334,0.056878264667583,0.0503869534996785,True
2008,4684,0.9947916666666666,0.9947916666666666,0.1013712375469398,0.087676043132604,True
2009,1800,0.8463541666666666,0.8294270833333334,0.0658595062395008,0.06021718262539,True
2010,1778,0.7838541666666666,0.7708333333333334,0.0629940473188747,0.0559519355436941,True
2011,1284,0.70703125,0.6888020833333334,0.0634902924179617,0.0563153078594833,True
2012,2096,0.83984375,0.83203125,0.0652045996506348,0.0582549960888625,True
2013,2942,0.8645833333333334,0.8619791666666666,0.0583812773542868,0.051732564318036,True
2014,3186,0.8359375,0.81640625,0.0539594266251072,0.049088106849757,True
2015,3112,0.83984375,0.82421875,0.0542842723971863,0.0474849287121298,True
2016,2870,0.83203125,0.8203125,0.0593689844207062,0.0535840965475375,True
2017,4150,0.8528645833333334,0.8489583333333334,0.050723567829935,0.0448415548442871,True
