year,n_samples,mean_swd,std_swd,z_score,drift_95,drift_99
2006,8693,0.1108932749604774,0.0724534761221174,134.04701437811408,True,True
2007,6755,0.1163147340069283,0.0801722971989371,141.9007120390465,True,True
2008,8564,0.1541813589544974,0.0907083244762924,196.75550688856532,True,True
2009,5122,0.129250481600824,0.0870380377547571,160.63984660598558,True,True
2010,15992,0.1405368870626316,0.0871170810754874,176.98969180748378,True,True
2011,17814,0.1212526627273547,0.0818652840012588,149.05395232163278,True,True
2012,23099,0.1352420709862328,0.0852363775708099,169.3194531728299,True,True
2013,29003,0.1283193625103066,0.0827051261252529,159.2909979361734,True,True
2014,30602,0.1198972664559147,0.0811763388436881,147.09048226026374,True,True
2015,33263,0.132014385244797,0.0880521403163943,164.6437251556029,True,True
2016,28573,0.1395190442976166,0.0933702107893946,175.51521247003888,True,True
2017,38648,0.1031646495242262,0.0740537049307384,122.85108225156873,True,True
2018,375,0.1415458637111916,0.0750212677491677,178.45132740720632,True,True
