year,n_samples,fraction_significant_raw,fraction_significant_fdr,mean_stat,median_stat,drift_detected
2006,3114,1.0,1.0,17.568229395858516,8.029431258198546,True
2007,2316,1.0,1.0,23.457182498418906,10.484033329805367,True
2008,4684,1.0,1.0,345.33643613908885,214.81872209236332,True
2009,1800,1.0,1.0,33.778757780126824,18.93689510771372,True
2010,1778,1.0,1.0,25.97932892834439,13.896881692133451,True
2011,1284,1.0,1.0,17.611506678643703,8.77306243176495,True
2012,2096,1.0,1.0,46.590008658457066,23.91230458885772,True
2013,2942,1.0,1.0,37.28603689741557,19.790133117722647,True
2014,3186,1.0,1.0,32.73329257431924,18.14359599827751,True
2015,3112,1.0,1.0,34.84008373048358,18.20969441911219,True
2016,2870,1.0,1.0,33.5892863861377,16.65438544297548,True
2017,4150,1.0,1.0,37.59388632442708,18.987503149782995,True
