year,count,mean,std,median,min,max
1998,862,0.44942772,0.14930594,0.43074405,0.14362994,1.2124075
1999,3821,0.4381808,0.13625568,0.4236039,0.13232447,1.1443939
2000,8819,0.43893933,0.13032155,0.4245534,0.130879,1.04204
2001,11341,0.4397353,0.13357648,0.42527127,0.122401394,1.1783133
2002,8184,0.4382908,0.13613404,0.425197,0.12798472,1.0868896
2003,7114,0.42924094,0.1364107,0.4121921,0.13438801,1.1325352
2004,4979,0.42403612,0.13182333,0.41019353,0.13120137,1.0488383
2005,8377,0.42418543,0.13018584,0.40896726,0.13605435,1.0752667
2006,8693,0.54838884,0.19692132,0.52017576,0.1516539,1.4936234
2007,6755,0.5842704,0.21253365,0.5531524,0.12895833,1.5699457
2008,8564,0.56522316,0.19865902,0.5348704,0.14052399,1.7837311
2009,5122,0.57035434,0.21061362,0.53814185,0.13894883,1.54696
2010,15992,0.6866983,0.21426293,0.67849255,0.1043875,1.5740792
2011,17814,0.70271105,0.21758662,0.6941985,0.13129848,1.586317
2012,23099,0.7129005,0.21632902,0.7075208,0.12682597,1.7207845
2013,29003,0.7038989,0.22073631,0.696897,0.12460115,1.7723503
2014,30602,0.70672035,0.2190548,0.7007885,0.15040351,1.8419971
2015,33263,0.70813304,0.22036615,0.70024663,0.14132524,1.8381904
2016,28573,0.709404,0.21959132,0.7003708,0.13806362,2.1240594
2017,38648,0.72236115,0.22070669,0.71303594,0.13994303,2.262499
2018,375,0.7731042,0.23154666,0.7664261,0.23804235,1.8364824
