year,count,mean,std,median,min,max
1998,388,0.042088088,0.015008266,0.03964355,0.011585083,0.14498556
1999,1954,0.039889425,0.01356355,0.03830121,0.011262556,0.10984503
2000,1800,0.039178398,0.013322565,0.037596785,0.012274081,0.10468831
2001,1844,0.041171927,0.013856367,0.039580703,0.01110143,0.10271604
2002,2244,0.04077293,0.013849715,0.03928768,0.011965759,0.12633415
2003,3275,0.038126804,0.013465093,0.036611825,0.009989811,0.11221495
2004,2279,0.03810942,0.013209858,0.03639902,0.010702921,0.10421535
2005,2884,0.039464187,0.013640031,0.03797527,0.011881569,0.14431927
2006,3114,0.04565264,0.01642612,0.04351908,0.010346943,0.12693258
2007,2316,0.047754485,0.017573325,0.04556324,0.010907538,0.14107883
2008,4684,0.061647337,0.02037238,0.06443134,0.012448146,0.19630629
2009,1800,0.04996257,0.019840922,0.046917804,0.012435831,0.15019017
2010,1778,0.048639737,0.018286824,0.04586155,0.009478759,0.117042944
2011,1284,0.048034497,0.018334532,0.04497905,0.012125705,0.1277089
2012,2096,0.05331329,0.021644885,0.05063999,0.008968454,0.28798985
2013,2942,0.048967544,0.022131562,0.045179036,0.011109702,0.4170506
2014,3186,0.04925176,0.021612857,0.045107126,0.010868533,0.26730084
2015,3112,0.050852757,0.0228927,0.0461334,0.009490116,0.31200105
2016,2870,0.050769612,0.023176983,0.046122953,0.010714784,0.33064276
2017,4150,0.053860683,0.02299594,0.051166832,0.011301616,0.5273287
