year,n_samples,fraction_significant_raw,fraction_significant_fdr,mean_stat,median_stat,drift_detected
2006,3114,0.7265625,0.6979166666666666,0.0427286319262089,0.0369520149370709,True
2007,2316,0.7421875,0.7213541666666666,0.0539728235277447,0.0466688053556751,True
2008,4684,0.9947916666666666,0.9947916666666666,0.150637023146816,0.1383393000635098,True
2009,1800,0.8255208333333334,0.8125,0.0731780238830893,0.068911087113031,True
2010,1778,0.796875,0.7864583333333334,0.0646995442276878,0.0585881475938617,True
2011,1284,0.7239583333333334,0.6796875,0.063625190358603,0.0584824242098015,True
2012,2096,0.84375,0.8359375,0.0773254247723159,0.0693036160160622,True
2013,2942,0.8255208333333334,0.8203125,0.0599391354436036,0.0540511483758389,True
2014,3186,0.8463541666666666,0.84375,0.0558250008078449,0.0509816841771302,True
2015,3112,0.859375,0.8567708333333334,0.0574518970599961,0.0528826459950041,True
2016,2870,0.8229166666666666,0.8072916666666666,0.0574693788216454,0.0488862215064606,True
2017,4150,0.875,0.8723958333333334,0.0523442038040571,0.0455197897421217,True
