year,n_samples,mean_swd,std_swd,z_score,drift_95,drift_99
2006,8693,0.1478717067134998,0.0986511156401032,71.8705474610356,True,True
2007,6755,0.1774232648657561,0.1165702302702588,88.87848776708447,True,True
2008,8564,0.2762673595730943,0.1596242902741384,145.76667125054985,True,True
2009,5122,0.1685053802962029,0.1068676655792188,83.74593781375438,True,True
2010,15992,0.2523601935608466,0.1216809764674823,132.00727317319107,True,True
2011,17814,0.2348003053521613,0.1044450281941881,121.9009522511111,True,True
2012,23099,0.2401564390284779,0.0962192755848946,124.98359179819217,True,True
2013,29003,0.2402926701390846,0.1017791951415558,125.06199749798938,True,True
2014,30602,0.2219053820097395,0.096281731910767,114.47947940257224,True,True
2015,33263,0.2186903168201822,0.0978398224387508,112.6290985684276,True,True
2016,28573,0.2310657422766903,0.1196817893187694,119.75158247745888,True,True
2017,38648,0.2164887684530243,0.0981423506911012,111.36203159968838,True,True
2018,375,0.236618851812857,0.0975814434340519,122.94758842128972,True,True
