year,n_samples,mean_swd,std_swd,z_score,drift_95,drift_99
2006,8693,0.0892275590229455,0.0567201298899816,110.7838353914646,True,True
2007,6755,0.0994366386859057,0.0639929053405969,126.6977008725721,True,True
2008,8564,0.1760055092266327,0.1208977029922405,246.05289703646923,True,True
2009,5122,0.1096223433314906,0.0719069221739353,142.57512948626257,True,True
2010,15992,0.1243630120594996,0.0850254244743531,165.55281474130015,True,True
2011,17814,0.1209492347668309,0.0823835294874818,160.2314347137653,True,True
2012,23099,0.1237624715614737,0.0856169449602505,164.61669503050825,True,True
2013,29003,0.1125075414208244,0.0784657000799477,147.07256273155218,True,True
2014,30602,0.1253504731278979,0.088272869897009,167.09206442188935,True,True
2015,33263,0.124072139128003,0.0846117969522213,165.09940338035975,True,True
2016,28573,0.1328889548075053,0.0915800492549128,178.84301429608018,True,True
2017,38648,0.1147587490660229,0.0779012871854473,150.58173464699018,True,True
2018,375,0.1366845596601427,0.0747513223469391,184.7595853326898,True,True
